ID;Nombre;Partido;Asistencia;Observacion;Hora Ingreso;ID_Sesion;ID_Legislatura
1;Acevedo Sáez María Candelaria;PC;A;;17:03;1;372
2;Aedo Jeldres Eric;DC;A;;17:12;1;372
3;Ahumada Palma Yovana;IND;I;MO;-;1;372
4;Alessandri Vergara Jorge;UDI;A;;17:00;1;372
5;Alinco Bustos René;IND;A;;17:01;1;372
6;Araya Guerrero Jaime;IND;A;;17:00;1;372
7;Araya Lerdo De Tejada Cristián;PREP;A;;17:00;1;372
8;Arce Castro Mónica;IND;A;;17:02;1;372
9;Arroyo Muñoz Roberto;PSC;A;;17:00;1;372
10;Astudillo Peiretti Danisa;PS;A;;17:05;1;372
11;Barchiesi Chávez Chiara;PREP;A;;17:00;1;372
12;Barrera Moreno Boris;PC;A;;17:03;1;372
13;Barría Angulo Héctor;DC;I;APLP;-;1;372
14;Becker Alvear Miguel Ángel;RN;A;;17:00;1;372
15;Bello Campos María Francisca;PCS;I;MO;-;1;372
16;Beltrán Silva Juan Carlos;RN;A;;17:00;1;372
17;Benavente Vergara Gustavo;UDI;A;;17:00;1;372
18;Berger Fett Bernardo;IND;A;;17:00;1;372
19;Bernales Maldonado Alejandro;LIBERAL;A;;17:00;1;372
20;Bianchi Chelech Carlos;IND;A;;17:03;1;372
21;Bobadilla Muñoz Sergio;UDI;I;LM;-;1;372
22;Bórquez Montecinos Fernando;UDI;I;IG;-;1;372
23;Bravo Castro Ana María;PS;A;;17:05;1;372
24;Bravo Salinas Marta;UDI;A;;17:00;1;372
25;Brito Hasbún Jorge;PRD;A;;17:06;1;372
26;Bugueño Sotelo Félix;IND;A;;17:00;1;372
27;Bulnes Núñez Mercedes;IND;I;AOCPR;-;1;372
28;Calisto Águila Miguel Ángel;IND;A;;17:16;1;372
29;Camaño Cárdenas Felipe;IND;A;;17:05;1;372
30;Cariola Oliva Karol;PC;A;;17:30;1;372
31;Carter Fernández Álvaro;UDI;A;;17:00;1;372
32;Castillo Rojas Nathalie;PC;A;;17:00;1;372
33;Castro Bascuñán José Miguel;RN;A;;17:32;1;372
34;Celis Montt Andrés;RN;A;;17:05;1;372
35;Cicardini Milla Daniella;PS;I;MO;-;1;372
36;Cid Versalovic Sofía;RN;A;;17:00;1;372
37;Cifuentes Lillo Ricardo;DC;A;;17:00;1;372
38;Coloma Álamos Juan Antonio;UDI;A;;17:00;1;372
39;Concha Smith Sara;PSC;A;;17:00;1;372
40;Cordero Velásquez María Luisa;IND;A;;17:00;1;372
41;Cornejo Lagos Eduardo;UDI;A;;17:00;1;372
42;Cuello Peña Y Lillo Luis Alberto;PC;A;;17:01;1;372
43;De La Carrera Correa Gonzalo;IND;A;;17:14;1;372
44;De Rementería Venegas Tomás;IND;A;;17:46;1;372
45;Del Real Mihovilovic Catalina;IND;A;;17:13;1;372
46;Delgado Riquelme Viviana;IND;A;;17:00;1;372
47;Donoso Castro Felipe;UDI;A;;17:00;1;372
48;Durán Espinoza Jorge;RN;A;;17:00;1;372
49;Durán Salinas Eduardo;RN;A;;17:00;1;372
50;Flores Oporto Camila;RN;A;;17:00;1;372
51;Fries Monleón Lorena;PCS;A;;17:02;1;372
52;Fuenzalida Cobo Juan;UDI;A;;17:02;1;372
53;Gazmuri Vieira Ana María;PAH;A;;17:21;1;372
54;Giordano Salazar Andrés;IND;A;;18:56;1;372
55;González Gatica Félix;PEV;A;;17:00;1;372
56;González Olea Marta;IND;I;MO;-;1;372
57;González Villarroel Mauro;RN;A;;17:00;1;372
58;Guzmán Zepeda Jorge;EVOP;A;;17:00;1;372
59;Hertz Cádiz Carmen;PC;A;;17:00;1;372
60;Hirsch Goldschmidt Tomás;PAH;A;;17:01;1;372
61;Ibáñez Cotroneo Diego;PCS;A;;17:06;1;372
62;Ilabaca Cerda Marcos;PS;A;;17:00;1;372
63;Irarrázaval Rossel Juan Manuel;PREP;A;;17:00;1;372
64;Jiles Moreno Pamela;PH;I;MO;-;1;372
65;Jouannet Valderrama Andrés;APCH;A;;17:09;1;372
66;Jürgensen Rundshagen Harry;IND;A;;17:07;1;372
67;Kaiser Barents-Von Hohenhagen Johannes;IND;A;;17:13;1;372
68;Labbé Martínez Cristian;UDI;A;;17:02;1;372
69;Labra Besserer Paula;IND;A;;17:03;1;372
70;Lagomarsino Guzmán Tomás;IND;A;;17:10;1;372
71;Lavín León Joaquín;UDI;A;;17:00;1;372
72;Leal Bizama Henry;UDI;A;;17:00;1;372
73;Lee Flores Enrique;PRI;A;;17:00;1;372
74;Leiva Carvajal Raúl;PS;A;;17:04;1;372
75;Lilayu Vivanco Daniel;UDI;A;;17:08;1;372
76;Longton Herrera Andrés;RN;A;;17:00;1;372
77;Malla Valenzuela Luis;LIBERAL;A;;17:26;1;372
78;Manouchehri Lobos Daniel;PS;A;;17:20;1;372
79;Martínez Ramírez Cristóbal;UDI;A;;17:04;1;372
80;Marzán Pinto Carolina;PPD;A;;17:06;1;372
81;Matheson Villán Christian;IND;A;;17:03;1;372
82;Medina Vásquez Karen;PDG;A;;17:24;1;372
83;Mellado Pino Cosme;PRSD;A;;17:00;1;372
84;Mellado Suazo Miguel;RN;A;;17:00;1;372
85;Melo Contreras Daniel;PS;A;;17:17;1;372
86;Meza Pereira José Carlos;PREP;A;;17:07;1;372
87;Mirosevic Verdugo Vlado;LIBERAL;A;;17:39;1;372
88;Mix Jiménez Claudia;COMUNES;A;;17:00;1;372
89;Molina Milman Helia;PPD;A;;17:10;1;372
90;Morales Alvarado Javiera;CS;A;;17:04;1;372
91;Morales Maldonado Carla;RN;A;;17:11;1;372
92;Moreira Barros Cristhian;UDI;A;;17:00;1;372
93;Moreno Bascur Benjamín;PREP;A;;17:07;1;372
94;Mulet Martínez Jaime;FRVS;A;;17:03;1;372
95;Muñoz González Francesca;PSC;I;MO;-;1;372
96;Musante Müller Camila;IND;A;;17:02;1;372
97;Naranjo Ortiz Jaime;PS;A;;17:03;1;372
98;Naveillan Arriagada Gloria;PDG;A;;17:04;1;372
99;Nuyado Ancapichún Emilia;PS;A;;17:03;1;372
100;Ñanco Vásquez Ericka;PRD;A;;17:08;1;372
101;Ojeda Rebolledo Mauricio;IND;A;;17:00;1;372
102;Olivera De La Fuente Erika;PDCH;I;MO;-;1;372
103;Orsini Pascal Maite;PRD;A;;17:02;1;372
104;Ossandón Irarrázabal Ximena;RN;I;MO;-;1;372
105;Oyarzo Figueroa Rubén Darío;PDG;A;;17:00;1;372
106;Palma Pérez Hernán;IND;A;;17:24;1;372
107;Pérez Cartes Marlene;IND;A;;17:00;1;372
108;Pérez Olea Joanna;PDCH;A;;17:03;1;372
109;Pérez Salinas Catalina;PRD;A;;17:06;1;372
110;Pino Fuentes Víctor Alejandro;IND;A;;17:00;1;372
111;Pizarro Sierra Lorena;PC;A;;17:00;1;372
112;Placencia Cabello Alejandra;PC;A;;17:01;1;372
113;Pulgar Castillo Francisco;IND;A;;17:00;1;372
114;Ramírez Diez Guillermo;UDI;A;;17:00;1;372
115;Ramírez Pascal Matías;PC;A;;17:00;1;372
116;Raphael Mora Marcia;RN;A;;17:04;1;372
117;Rathgeb Schifferli Jorge;RN;A;;17:00;1;372
118;Rey Martínez Hugo;RN;A;;17:34;1;372
119;Riquelme Aliaga Marcela;IND;A;;17:09;1;372
120;Rivas Sánchez Gaspar;PDG;A;;18:15;1;372
121;Rojas Valderrama Camila;COMUNES;A;;17:04;1;372
122;Romero Leiva Agustín;PREP;A;;17:02;1;372
123;Romero Sáez Leonidas;IND;A;;17:00;1;372
124;Romero Talguia Natalia;IND;A;;17:00;1;372
125;Rosas Barrientos Patricio;IND;A;;17:08;1;372
126;Sáez Quiroz Jaime;PRD;A;;17:03;1;372
127;Saffirio Espinoza Jorge;PDCH;I;PMP;-;1;372
128;Sagardía Cabezas Clara;IND;A;;17:01;1;372
129;Sánchez Ossa Luis;PREP;A;;17:13;1;372
130;Santana Castillo Juan;PS;A;;17:04;1;372
131;Santibáñez Novoa Marisela;IND;I;MO;-;1;372
132;Sauerbaum Muñoz Frank;RN;A;;17:00;1;372
133;Schalper Sepúlveda Diego;RN;A;;17:16;1;372
134;Schneider Videla Emilia;PCS;A;;17:00;1;372
135;Schubert Rubio Stephan;IND;A;;17:00;1;372
136;Sepúlveda Soto Alexis;PRSD;A;;17:00;1;372
137;Serrano Salazar Daniela;PC;A;;17:00;1;372
138;Soto Ferrada Leonardo;PS;A;;17:00;1;372
139;Soto Mardones Raúl;PPD;A;;17:19;1;372
140;Sulantay Olivares Marco Antonio;UDI;A;;17:00;1;372
141;Tapia Ramos Cristián;IND;A;;17:21;1;372
142;Teao Drago Hotuiti;IND;A;;17:00;1;372
143;Tello Rojas Carolina;PC;I;MO;-;1;372
144;Trisotti Martínez Renzo;UDI;A;;17:00;1;372
145;Ulloa Aguilera Héctor;IND;A;;17:14;1;372
146;Undurraga Gazitúa Francisco;EVOP;A;;17:02;1;372
147;Undurraga Vicuña Alberto;DC;A;;17:00;1;372
148;Urruticoechea Ríos Cristóbal;PREP;A;;17:00;1;372
149;Veloso Ávila Consuelo;PRD;A;;17:00;1;372
150;Venegas Salazar Nelson;PS;A;;17:34;1;372
151;Videla Castillo Sebastián;IND;A;;17:00;1;372
152;Von Mühlenbrock Zamora Gastón;UDI;A;;17:03;1;372
153;Weisse Novoa Flor;UDI;I;MO;-;1;372
154;Winter Etcheberry Gonzalo;PCS;A;;17:03;1;372
155;Yeomans Araya Gael;PCS;A;;17:09;1;372
1;Acevedo Sáez María Candelaria;PC;A;;10:05;2;372
2;Aedo Jeldres Eric;DC;A;;10:22;2;372
3;Ahumada Palma Yovana;IND;I;MO;-;2;372
4;Alessandri Vergara Jorge;UDI;A;;10:45;2;372
5;Alinco Bustos René;IND;A;;10:04;2;372
6;Araya Guerrero Jaime;IND;A;;10:04;2;372
7;Araya Lerdo de Tejada Cristián;PREP;A;;10:28;2;372
8;Arce Castro Mónica;IND;A;;10:14;2;372
9;Arroyo Muñoz Roberto;PSC;A;;10:04;2;372
10;Astudillo Peiretti Danisa;PS;A;;10:33;2;372
11;Barchiesi Chávez Chiara;PREP;A;;10:04;2;372
12;Barrera Moreno Boris;PC;A;;10:05;2;372
13;Barría Angulo Héctor;DC;I;LM;-;2;372
14;Becker Alvear Miguel Ángel;RN;A;;10:04;2;372
15;Bello Campos María Francisca;PCS;I;MO;-;2;372
16;Beltrán Silva Juan Carlos;RN;A;;10:04;2;372
17;Benavente Vergara Gustavo;UDI;A;;10:04;2;372
18;Berger Fett Bernardo;IND;A;;10:04;2;372
19;Bernales Maldonado Alejandro;LIBERAL;A;;10:06;2;372
20;Bianchi Chelech Carlos;IND;A;;10:23;2;372
21;Bobadilla Muñoz Sergio;UDI;I;LM;-;2;372
22;Bórquez Montecinos Fernando;UDI;A;;10:04;2;372
23;Bravo Castro Ana María;PS;A;;10:14;2;372
24;Bravo Salinas Marta;UDI;A;;10:04;2;372
25;Brito Hasbún Jorge;PRD;A;;10:04;2;372
26;Bugueño Sotelo Félix;IND;A;;10:04;2;372
27;Bulnes Núñez Mercedes;IND;I;AOCPR;-;2;372
28;Calisto Águila Miguel Ángel;IND;A;;10:04;2;372
29;Camaño Cárdenas Felipe;IND;A;;10:04;2;372
30;Cariola Oliva Karol;PC;A;;10:55;2;372
31;Carter Fernández Álvaro;UDI;A;;10:15;2;372
32;Castillo Rojas Nathalie;PC;A;;10:04;2;372
33;Castro Bascuñán José Miguel;RN;A;;10:25;2;372
34;Celis Montt Andrés;RN;A;;10:55;2;372
35;Cicardini Milla Daniella;PS;I;MO;-;2;372
36;Cid Versalovic Sofía;RN;A;;10:25;2;372
37;Cifuentes Lillo Ricardo;DC;A;;10:04;2;372
38;Coloma Álamos Juan Antonio;UDI;A;;11:17;2;372
39;Concha Smith Sara;PSC;A;;10:22;2;372
40;Cordero Velásquez María Luisa;IND;A;;10:04;2;372
41;Cornejo Lagos Eduardo;UDI;A;;10:11;2;372
42;Cuello Peña y Lillo Luis Alberto;PC;A;;10:04;2;372
43;De la Carrera Correa Gonzalo;IND;A;;11:11;2;372
44;De Rementería Venegas Tomás;IND;A;;10:48;2;372
45;Del Real Mihovilovic Catalina;IND;A;;10:51;2;372
46;Delgado Riquelme Viviana;IND;A;;10:04;2;372
47;Donoso Castro Felipe;UDI;A;;10:04;2;372
48;Durán Espinoza Jorge;RN;A;;10:04;2;372
49;Durán Salinas Eduardo;RN;A;;10:04;2;372
50;Flores Oporto Camila;RN;A;;12:15;2;372
51;Fries Monleón Lorena;PCS;A;;10:04;2;372
52;Fuenzalida Cobo Juan;UDI;A;;11:56;2;372
53;Gazmuri Vieira Ana María;PAH;A;;10:55;2;372
54;Giordano Salazar Andrés;IND;A;;10:08;2;372
55;González Gatica Félix;PEV;A;;10:04;2;372
56;González Olea Marta;IND;I;MO;-;2;372
57;González Villarroel Mauro;RN;A;;10:07;2;372
58;Guzmán Zepeda Jorge;EVOP;A;;10:15;2;372
59;Hertz Cádiz Carmen;PC;A;;10:04;2;372
60;Hirsch Goldschmidt Tomás;PAH;A;;11:03;2;372
61;Ibáñez Cotroneo Diego;PCS;A;;10:04;2;372
62;Ilabaca Cerda Marcos;PS;A;;10:04;2;372
63;Irarrázaval Rossel Juan Manuel;PREP;A;;10:11;2;372
64;Jiles Moreno Pamela;PH;I;MO;-;2;372
65;Jouannet Valderrama Andrés;APCH;A;;10:04;2;372
66;Jürgensen Rundshagen Harry;IND;A;;10:04;2;372
67;Kaiser Barents-Von Hohenhagen Johannes;IND;A;;10:04;2;372
68;Labbé Martínez Cristian;UDI;A;;11:03;2;372
69;Labra Besserer Paula;IND;A;;10:05;2;372
70;Lagomarsino Guzmán Tomás;IND;A;;11:59;2;372
71;Lavín León Joaquín;UDI;A;;10:50;2;372
72;Leal Bizama Henry;UDI;A;;10:12;2;372
73;Lee Flores Enrique;PRI;A;;10:04;2;372
74;Leiva Carvajal Raúl;PS;A;;10:04;2;372
75;Lilayu Vivanco Daniel;UDI;A;;10:04;2;372
76;Longton Herrera Andrés;RN;A;;10:04;2;372
77;Malla Valenzuela Luis;LIBERAL;A;;12:10;2;372
78;Manouchehri Lobos Daniel;PS;A;;10:14;2;372
79;Martínez Ramírez Cristóbal;UDI;A;;11:10;2;372
80;Marzán Pinto Carolina;PPD;A;;10:04;2;372
81;Matheson Villán Christian;IND;A;;10:04;2;372
82;Medina Vásquez Karen;PDG;A;;11:05;2;372
83;Mellado Pino Cosme;PRSD;A;;11:48;2;372
84;Mellado Suazo Miguel;RN;A;;10:04;2;372
85;Melo Contreras Daniel;PS;A;;10:14;2;372
86;Meza Pereira José Carlos;PREP;A;;10:50;2;372
87;Mirosevic Verdugo Vlado;LIBERAL;A;;11:03;2;372
88;Mix Jiménez Claudia;COMUNES;A;;10:11;2;372
89;Molina Milman Helia;PPD;A;;10:22;2;372
90;Morales Alvarado Javiera;CS;A;;10:05;2;372
91;Morales Maldonado Carla;RN;A;;10:04;2;372
